theme,sub_theme,feature_name,co_ordinates,,,,,,
Leisure/Recreation,Major Sports & Recreation Facility,Carlton Football Club,"-37.7840864379557, 144.961967841559",,,,,,
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Kings Domain,"-37.8255239795833, 144.974107925144",,,,,,
Place Of Assembly,Art Gallery/Museum,Australian Centre for Contemporary Art,"-37.8266045432686, 144.967252924593",,,,,,
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Federation Square,"-37.8178516571684, 144.968963600783",,,,,,
Place Of Assembly,Art Gallery/Museum,National Sports Museum,"-37.8189544909462, 144.984669809381",,,,,,
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Flagstaff Gardens,"-37.8111222889277, 144.954696055235",,,,,sub_theme,计数项:sub_theme
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Westgate Park,"-37.8314918578874, 144.908824792698",,,,,Aquarium,1.03%
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Newmarket Reserve,"-37.7878473341234, 144.922972125346",,,,,Art Gallery/Museum,19.59%
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),J.J Holland Park,"-37.7982358832177, 144.923837074813",,,,,Casino,1.03%
Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Riverside Park,"-37.7948375315825, 144.915607065132",,,,,Function/Conference/Exhibition Centre,4.12%
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Fitzroy Gardens,"-37.8129616331579, 144.980455714669",,,,,Informal Outdoor Facility (Park/Garden/Reserve),38.14%
Place Of Assembly,Theatre Live,Regent Theatre,"-37.8160014744179, 144.967916735261",,,,,Major Sports & Recreation Facility,14.43%
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Richmond Football Club,"-37.8216740022008, 144.988156318781",,,,,Observation Tower/Wheel,2.06%
Place Of Assembly,Function/Conference/Exhibition Centre,Melbourne Convention Centre,"-37.8249040484653, 144.952288281644",,,,,"Outdoor Recreation Facility (Zoo, Golf Course)",4.12%
Purpose Built,Casino,Crown Entertainment Complex,"-37.8235761092516, 144.957312880653",,,,,Theatre Live,15.46%
Place Of Assembly,Art Gallery/Museum,Fox Classic Car Collection,"-37.8213744301481, 144.948496661709",,,,,总计,100.00%
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),North Melbourne Recreation Reserve,"-37.7988345257153, 144.941452061463",,,,,,
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Princes Park,"-37.7870161727156, 144.961115214367",,,,,,
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Argyle Square,"-37.8031480577285, 144.965761295089",,,,,,
Leisure/Recreation,Major Sports & Recreation Facility,Westpac Centre,"-37.8242456858593, 144.979720306309",,,,,,
Place Of Assembly,Theatre Live,Playhouse,"-37.8218124583016, 144.968337832721",,,,,,
Place Of Assembly,Art Gallery/Museum,Victorian Arts Centre,"-37.8219947335768, 144.968837288153",,,,,,
Place Of Assembly,Function/Conference/Exhibition Centre,Central Pier,"-37.8165177307702, 144.943475014215",,,,,,
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Royal Botanic Gardens,"-37.8306631583233, 144.980850432751",,,,,,
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Darling Square,"-37.81299206932, 144.989062559512",,,,,,
Place Of Assembly,Art Gallery/Museum,The Ian Potter Museum Of Art,"-37.7973939595503, 144.964156669702",,,,,,
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Parliament Reserve,"-37.809852620638, 144.973462202839",,,,,,
Place Of Assembly,Art Gallery/Museum,Koorie Heritage Trust Inc,"-37.8133854259085, 144.954027907736",,,,,,
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Macarthur Square,"-37.7983318676737, 144.971514146104",,,,,,
Place Of Assembly,Art Gallery/Museum,Cooks' Cottage,"-37.8144604899837, 144.979471339826",,,,,,
Place Of Assembly,Art Gallery/Museum,Royal Exhibition Building,"-37.80460262432, 144.971521914952",,,,,,
Leisure/Recreation,Observation Tower/Wheel,Eureka Skydeck 88,"-37.8216187583314, 144.964622218598",,,,,,
Place Of Assembly,Art Gallery/Museum,Old Melbourne Gaol Crime & Justice Experience,"-37.8077644149636, 144.965463853978",,,,,,
Place Of Assembly,Function/Conference/Exhibition Centre,Melbourne Exhibition Centre,"-37.8252455123297, 144.95435243249",,,,,,
Place Of Assembly,Theatre Live,MTC Theatre,"-37.8242661832902, 144.968174400274",,,,,,
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Shrine of Rembrance Reserve,"-37.8320733992876, 144.973628364465",,,,,,
Place Of Assembly,Function/Conference/Exhibition Centre,Dallas Brooks Centre,"-37.8097374138234, 144.981383411592",,,,,,
Leisure/Recreation,Major Sports & Recreation Facility,Flemington Racecourse,"-37.7908082646624, 144.912142987372",,,,,,
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Treasury Gardens,"-37.8143993575938, 144.975952335785",,,,,,
Leisure/Recreation,Major Sports & Recreation Facility,Melbourne Cricket Ground (MCG),"-37.8194921618419, 144.983402879078",,,,,,
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Queen Victoria Gardens,"-37.8216381244891, 144.971049530478",,,,,,
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),New Quay,"-37.8152178789077, 144.941617889032",,,,,,
Leisure/Recreation,Major Sports & Recreation Facility,Rod Laver Arena,"-37.8220456119807, 144.978487173787",,,,,,
Leisure/Recreation,Major Sports & Recreation Facility,Melbourne Park,"-37.8209085970021, 144.978735802793",,,,,,
Leisure/Recreation,Major Sports & Recreation Facility,Hisense Arena,"-37.823110002667, 144.981834802535",,,,,,
Place Of Assembly,Art Gallery/Museum,Melbourne Museum,"-37.8035518129299, 144.971690718887",,,,,,
Place Of Assembly,Theatre Live,Hamer Hall,"-37.8199901009015, 144.967992144257",,,,,,
Place Of Assembly,Theatre Live,Athanaeum Theatre,"-37.814954347831, 144.96732254212",,,,,,
Place Of Assembly,Theatre Live,Her Majesty's Theatre,"-37.8109975612842, 144.969520183129",,,,,,
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Sandridge Rail Bridge,"-37.8201763042794, 144.96298113724",,,,,,
Place Of Assembly,Art Gallery/Museum,The Museum Of Australian Chinese History,"-37.8107686127655, 144.96923385414",,,,,,
Leisure/Recreation,Observation Tower/Wheel,Melbourne Star Observation Wheel,"-37.8116163666726, 144.937588920436",,,,,,
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Birrarung Marr,"-37.81806108403, 144.97314667014",,,,,,
Place Of Assembly,Art Gallery/Museum,Immigration Museum,"-37.8191798798062, 144.960426777129",,,,,,
Place Of Assembly,Art Gallery/Museum,Fire Services Museum Victoria,"-37.8085761281612, 144.975373745366",,,,,,
Leisure/Recreation,Major Sports & Recreation Facility,North Melbourne Recreation Centre (Aquatic),"-37.7999470049655, 144.943290801869",,,,,,
Leisure/Recreation,Major Sports & Recreation Facility,State Netball Hockey Centre,"-37.7857860016289, 144.947580972027",,,,,,
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),University Square,"-37.800410711209, 144.960398319302",,,,,,
Place Of Assembly,Theatre Live,Princess Theatre,"-37.8107257091302, 144.9723265962",,,,,,
Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Melbourne Zoo,"-37.7844449253712, 144.951371205938",,,,,,
Place Of Assembly,Theatre Live,Malthouse Theatre,"-37.8271768001126, 144.966936821789",,,,,,
Place Of Assembly,Art Gallery/Museum,Thoroughbred Racing Gallery,"-37.8188662730911, 144.9839700954",,,,,,
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Docklands Park,"-37.8209956785618, 144.946781702342",,,,,,
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Point Park,"-37.8233522700646, 144.942102276731",,,,,,
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Alexandra Gardens,"-37.8206051404251, 144.971796067365",,,,,,
Place Of Assembly,Theatre Live,Carlton Courthouse Theatre,"-37.7976589943217, 144.968750113566",,,,,,
Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Melbourne Showgrounds,"-37.7823097850883, 144.910822117306",,,,,,
